"","CID","maxlatency","mean_latency","mean_time_retrieve","mean_time_compute","time_add_IPFS","mean_time_pubsub"
"1","QmawiRDJ7ionhhFf3B36jw8iE9MRMtKQqT1EPEwdzraZ1f",278,278,125514707,55691,151240067,1.18953499999998
"2","Qmb1Q7rvqyvwgiW7XGR3Hynw8Toz9MrJY8jypBfqXqGjq3",215,215,84856509,66319,125992086,4.08508599999999
"3","QmcasRJHmM9QqY126ZCdi7RZkQHHA3uqLhmijJ3RtDXg5u",215,215,87058540,53621,126651661,1.236178
"4","QmcJdaco87c2zGkqatAqSjpx57jZh2m3RzuJneXBUqP2b2",246,246,85903092,61821,159489361,0.545726000000002
"5","QmctCrRNYWHhzLYuhYuESDuMXqNo82oao9tgVnxhNZHcYW",263,263,135271508,49645,126484276,1.194571
"6","QmNeHnvrZx7nnWsmnT3Amttq8XET9hPJczRurbY7MG8bRf",210,210,81313454,49081,126070766,2.566699
"7","QmSd185348eq4rvmpvRHiH21YcoJEp9gmJYR3mK6cJPDBT",202,202,82889793,80302,118107005,0.922899999999998
"8","QmVu598ZATyAHZ8sUaZorBVH2DB6FUpwFCL6pNsPyuR6fA",200,200,80202406,57667,118745921,0.994006000000013
"9","QmXQmDPtDnKqK6XyAgsXL1HGwaPNQ3j5fruiaTbTpP1W1b",921,921,803233080,61651,117122331,0.582938000000013
"10","QmYNUC3jdcsMtSepnVBYW4FhYd1WcVxATLapjvw8SUqssF",212,212,84002354,47480,126331838,1.61832799999999
