"","CID","maxlatency","mean_latency","mean_time_retrieve","mean_time_compute","time_add_IPFS","mean_time_pubsub"
"1","QmfUPTZedpWv2ZdE9Drg3bF2fnhqnVhAm85UMeyrdNNMXU",7473,1156.5306122449,50542632.9591837,61147,125624006,980.302826285714
"2","QmfW6gXEhbaaqrtQTLQ1obieQiXBVJgGh49L5hM8nVh7HC",5474,614.020408163265,63125053.6530612,62609.3673469388,143475421,407.357324142857
"3","QmNq7eTvXNRDRGSmGwDS3JWCcg76pMmp5R1czBCQPL6XJC",9701,1962.51020408163,43349043.0204082,59177.4285714286,117779452,1801.32253163265
"4","QmQ79gMEgqb2YFyB9Tixd6AuhJvnoEGHs2yMRAx6Frqh3U",1831,212.938775510204,39360623.1836735,61797.3469387755,125638051,47.8783039795918
"5","QmQEPzwhQKQh4UWEWsmaU5aPQyfaYgREU93JHB94ZyYXuv",11947,3068.22448979592,189252286.183673,66570.6326530612,143136813,2735.76881997959
"6","QmRoxHoKV6mdfdEEzGGBhv7AqFbJKcDX4nKJFq7GmBxFLz",4093,394.571428571429,67801801.5714286,61343.4081632653,109472324,217.235959591837
"7","QmTAqrXHdoLgLgf81bPhkScoZ5Mr8H89gSir9zcZZNSwDz",6583,831.020408163265,82178339.5306122,59662.1224489796,109159695,639.622711510204
"8","QmVFXGW17DGPefNDZK4XmtFfDr65Vj18xbdUtHpdo6bDao",8583,1525.02040816327,66723839.0612245,61618.3265306122,109799483,1348.43546777551
"9","QmWyhotxpntwVC1pgmhkhBZkRjiFM5o5thwMr6xWdefBpG",10804,2397.91836734694,17477895.4285714,79381.8163265306,102303602,2278.05748810204
"10","QmX3CZCwuwb8TxpWopu9SnWgyzPc3MPQDRGcj3BCeTGvtd",2983,299.734693877551,33717707.9387755,65184.8163265306,151265978,114.685823122449
