CID,time,timeSend,timeRetrieve
QmQ1vm2R6SA2tCDZ3mSSgScLfqE2UhhZ37F9rgrWztvJQG,1695346746921,0,642219466
QmQPJBouiPwCnhruit9VbK9b5WoW44pZkfvBgEzRxFAihX,1695346747698,0,165259196
QmfN4FntpvCz4Ypk1nXvCZarn1CBBx6sFBDKCPzKKqZBwi,1695346748959,0,182955145
QmWvawfhkY8Yj9UGY59UR6asimw5NLNp88Lrykhu9LWbNr,1695346750216,0,196557711
QmNM95TxVZ9uRWuZBHGHXuZ8CK5HETnevGcH6aiE9zoeJT,1695346751461,0,163435538
QmQAZaGWuhbHVHhdKxQe8LNonzWJDErAdjCobyxVzd5n4g,1695346752662,0,153278755
QmXKQMkdsWizrPTw4v4x2BAVK4xabJNoZzUqAp7UGzozzn,1695346753873,0,162754092
QmbceUFEvy6KsnFSkNcT1mngdmJ85wjb22M3LWHKHFbVmA,1695346755140,0,193604777
QmQ4DK9Xrxu8miQ66DfGqgGcZJQqMm4H2SGH7WvbcLgpiM,1695346756376,0,185793760
QmSXssKN3eYgrVg6AhmSSD7wMWFyzt81R3Nt8bbNeH4XAt,1695346757612,0,160297721
QmRFgGh8xZu2WTmXYPUSSNyJYARyxb5ezHSQuR3VnrJ9hp,1695346758879,0,158627789
QmVWUWgeD2UCz5Lyw14u2bviScgSaRXwmNuhTTBod3oskz,1695346760131,0,166675300
QmXkm4apVdnqQ6ZKFXc8b1KkWgLsMbw4828i8G8xqwAmAa,1695346761399,0,204178264
QmRcbyJwjQLa6VfmFcmwi5ZTqSuPr9pHh5DE6rwPrgNxVs,1695346762559,0,156999976
QmNy95RyS53Te5LTDn33o3A7xBiCtCiotHvbYgJwheXXUi,1695346763768,0,163769283
Qmck2vEBS4y5FuVkNTDMPNNDrwFrTEx92wAFcSvzxd7Czo,1695346765054,0,213813579
QmTCpXD7Cin5NqEhidQ6BCpNLiLCJYyoAevKTHH4mTk9cd,1695346766239,0,154956552
Qmbp6N7SdL9Efsh56VbeYbzb41ApxN87MjVZ3cEgF8tcPY,1695346767474,0,153754683
QmRXPKQ1S2iAWeFuZ3vagGKxhVNrZbBRxTYwMcyvKdUWCF,1695346768693,0,170252290
QmcHB3uhLHs1YuuGjcBGdAC2GMiBdd3GsjDL2SGMguvMrY,1695346769927,0,202880066
QmeNW6zfLfVQnqqF66Bp7NF9aiXH8W1VdhX44dVaga5ZPd,1695346771161,0,167053934
QmZ3HrxxRY26xXkAD7xpAWL2c2bZc9oRhNZT1DRJKeSU42,1695346772430,0,192435266
QmZdxqdn3AZ8K6sZPb1FrPJYiJZW5VMU5ANHcbhYBpprWs,1695346773659,0,177967208
QmfFWVF4QQBgok6NwQZP4Xi7RuvAciSRcNVCUhA36bxhus,1695346774910,0,201385197
QmX1QUu3vUgbuMevTbwqvGDu6aiEnbYSJCbZsAsYqfqKwv,1695346776052,0,157219518
QmVF9thCqZg6pWw5apprYkKfexGKhTr5MydySQGLo2d6mV,1695346777254,0,148706456
QmRKhoBkPDTGEk3rgYS1rxFwF4Z7ywRGbZyfnskAjFtasz,1695346778532,0,198507389
QmaGPHPrRz4XL68SiV2kdgynG5AdyVWb1ssDE72pfingiK,1695346779735,0,166023378
QmVkQNvZ5HJwx9G3GQfxk3vH6DBqinLfLZWHLKDABE8CbA,1695346781034,0,196194633
QmcMMrze2dBHP7ULRExUjq3xEwYSS7UnDVdW4gCqPgfi4Q,1695346782219,0,156546714
QmeeYGLzwhBdabxi3xME7EH7FJtPeLFwMdFwXBFsKCVj9p,1695346783484,0,217007365
QmZodcrsYrsjJQYMvFiYbVJ47MbQFcqdZYZXTJAbzxrjQ9,1695346784631,0,169094198
QmVduzxTyb7jzJhcVmmYBD53gYzrrUATM1zz7KJ8ZxG9uj,1695346785925,0,161009324
Qmc3Ctc6Moo7oyUPKTpkUmogEjEcr6fcfyASin8Ke8mbwt,1695346787143,0,151686521
QmQYSm9i5844PjsUBp1d3JcdXt5i5ZDWZdw5i2sB92tFfn,1695346788444,0,200479677
QmUoN1MYHMvKBtn13SAWGz76qcc4aAdFy67twkd7XAsqui,1695346789704,0,216018206
QmfLazEHQ84rXB7qXXBWyN9ZHw2Y1uYzjdpBMVGYbRijPD,1695346790939,0,182144178
QmZV7MibAWRaaXBHGYfvkkENSjhycF4AoD9Pugoxze7JuR,1695346792099,0,148687745
QmQh16KRA3nHVAcxBPCQzNiifPieRPL1XNLVRUB6RNBiEn,1695346793343,0,197711458
QmNpA3uea32AzEZAf28eRoAhv29tY9rTSs7ykJCNimQbtG,1695346794536,0,155489641
QmfN6SXC4TvF5niRLLrb8KpfnXBo1LsY7zirMr3oZK26wK,1695346795796,0,170924827
QmXFBV8t6ctZZo36esNMWM8UwoK8jupVBuAd5i7CgUGN4o,1695346797013,0,161138487
QmT6gfGRjzC3y4rgMoqg7QXzCrmhYUTqxrg5LnUcyYFHnU,1695346798249,0,193151799
QmWWgkh2UL4ar9A2EYheDoAUvNaJMmbf82tgF951WJTuur,1695346799410,0,151586062
QmQde8QhMXoozVcfBcdemqAd83acwiPiqDW1w1VqXeGBEu,1695346800680,0,169006729
QmVdqLU63wXZH5sT2u2e7iSkdXujUqUuqVTggTUZfAq3hP,1695346801956,0,149473457
QmTqb898LXWFjqWHc8tkmQRRpFGBtzGyi9BmYuQVRVR7t1,1695346803249,0,199617764
QmYwwhwodSaxcUtiWQ2K7Q9f5C2rVYwusgLGkhTzQQwYzw,1695346804484,0,198898017
QmQzGiRy6gkt6TUGho5zjZNgjoxv71VhAxBkpvNwjdaKoE,1695346805746,0,207246058
QmbKoVrfyGvDmqghVZr7Dz7nYoWhuG5HBkoFYyAhASkTRX,1695346806997,0,181332262
QmNRY3mSUhgJqrCets9WhVeBm3YGamcJxeZRdgAdZHSWQu,1695346808209,0,156493766
QmNTUbPBmLAx6SJ5rZSxRankaRbYCk44sFxW3QaRcWzzz4,1695346809442,0,187858726
QmZvsUD4QiEXjS7L6Dn5uQwrBHaCuvV7creVHH8Nc9CBQu,1695346810611,0,153972825
QmQhPW8Zw5FTAL5CsnKghoVUGLiwLrgpDJ5Gmj88QUV38f,1695346811880,0,161334449
QmRSuAKbRUmi1hLkERhHYmAujw6evJFvGmssTYaHTPGu5H,1695346813099,0,161084710
QmTTek3HZy5pnRVZg5nzisTK6CUVAG6cGJEJYc8VecYiJj,1695346814366,0,200643691
QmQmZNgmezxJfqe54SpQU3q582ZCgmQXiXdLVMrj1EBPiy,1695346815518,0,150724239
QmW1LgAfE4hsFPGpsqY7pvFm18NGwwtQKti87GjhYj7cYp,1695346816845,0,162790977
QmcB1LvZf7F7JtcyD9HzJzC6gkRFhaspyFQjjkLGf12Kyu,1695346818055,0,165237167
QmZ4Z6qiPz9FvsJZmwUXAEFLX4Phs33Xs15QBfqkPKJEay,1695346819290,0,206482218
Qma6aQBJFcHDA7qULdDbSg4msnDcV98MQMCaLieAu366rB,1695346820476,0,164886405
