"","CID","maxlatency","mean_latency","mean_timeRetrieve","mean_timeSend","mean_time_pubsub"
"57","QmSKFGjxfGhZHKLQJygCVJUx2xJBDcftyZb7CKtsCUuyku",453,308.265306122449,81333582.6734694,227441900,-0.510176551020412
"58","QmSkT44VceUQoPWLFe4agAGobkzmhC52e9zDoJqdEYVk4D",629,489.938775510204,89552773.4285714,401424402,-1.03839991836735
"59","QmSmcXuovzwDpzC3Tt6bYNCgsC4xKaL1iudznweYVctGfK",572,391.918367346939,88535190.6326531,302638930,0.744246714285716
"60","QmSXPM3VwL2iZu6ceMVguC8k3ob36VjTUaWRk6kyqcy8Ym",396,253.755102040816,86302035.8571429,168720247,-1.26718081632653
"61","QmTCBuJP2e49fH127Jtub2WYDVF4afnHjXX4na96LhsxMs",438,313.897959183673,78879807.7142857,234801768,0.216383469387753
"62","QmTcs3Unoy4zetXZJHkGbPy58z7QXwbm4gZLQZaimfjDgL",338,220.326530612245,77784210.7755102,143312499,-0.770179163265307
"63","QmTgsEznY3ebL4xkzRRwEjWafETctNgKukaa23c4BgFXK3",481,315.918367346939,88151963.3877551,227007836,0.758567959183678
"64","QmTGUh1JLGcrdNNPGBmEXUSqnhFCLEUkoeaUibXzdFLzwo",419,263.857142857143,90857657.5510204,173831246,-0.831760693877551
"65","QmThkYwWQ5PKChPesuwnEX8wxXTsPAJ6ck7xEVcyr1Jy17",444,308.081632653061,90994654.0204082,218278402,-1.19142336734694
"66","QmThMMVzHaTSsnoUhSMBfcWRyJTzCgvBS3qMpJKk8F2VEP",485,307.591836734694,89766191.2653061,218735618,-0.909972530612245
"67","QmTiz3uKTD9wekNEiUvdt3s5dFDbU2DK1vm55Bj5uGPqbF",441,300.448979591837,90817386.3673469,209745867,-0.114273775510203
"68","QmTmgTueHBvurYe8dxN1RqynAcJGfLMhrv1w6FiMxgAbmZ",502,341.775510204082,90640921.7346939,252112383,-0.977794530612247
"69","QmTmMKhzLDC4LSyrV2c5AGuhz1fqZJVH4JQNWCxHQxJcHi",472,330.061224489796,87684245.9591837,242690084,-0.31310546938776
"70","QmTNPwqWaCrn4kKLkfoFfVSEjvVmuKrEH1dFq3qpxVUhBs",429,274.69387755102,90003758.5714286,185353273,-0.663154020408162
"71","QmTRCDM8TQn9FFJyEKpw1W2Xr3m44kukJJubQz4CiHvshi",366,215,80054992.2857143,134617585,0.327422714285715
"72","QmTyKJb6GbhDyaNqRgm142NjikXqdtPzAsFShTAVYuzx9m",479,314.775510204082,88617957.2857143,226632235,-0.474682081632653
"73","QmTz1cYaQqM8PL6r7aGJvk3897Latg5PxEhMZ8hfp9KD9Y",506,334.040816326531,91317285.4489796,243771707,-1.04817612244898
"74","QmTZtN7vdeVXG8s9WwShkprsDCuxXJEKBzMpaHmQXXmxLm",467,316.69387755102,90750708.9795918,226904207,-0.961038428571426
"75","QmU8BEMrX2Eaer58q7MKEe5XyeyigFUjSx6Vce8y6EMXhD",471,243.571428571429,92215008.6326531,152290276,-0.933856061224488
"76","QmUhMTYXEnxoEiB3QMFs8PJC3LnFhEwS1WgnbVxkD4haaP",454,314.285714285714,87632251.5306122,227264128,-0.610665244897956
"77","QmUiUixenAgMyBYb8pZwf6A88GPzpxt66eByEtyvoCyKJw",395,265.469387755102,80786583.2244898,184824916,-0.142111469387756
"78","QmUoHizW4gt4knXjhuMa7MrridF87AtcZNDGqpKDLcxFdW",479,327.204081632653,91820319.0408163,235483205,-0.099442408163262
"79","QmUR8kpMxomjbbsMjC9AK9X6vUEjHzAhvqNaVvtCLZA931",460,316.34693877551,90060394.4081633,226678600,-0.392055632653059
"80","QmUv5myM2cppbqMSZJyon8RDDAJLWZWdFtiHBGJd4yKFhK",482,342.30612244898,91546439.8367347,251927285,-1.1676023877551
"81","QmUyuoJ96tC5A1JDhum9MwqfNKwEiUcqKxinbVmLeF1xan",399,263.918367346939,87584623.5306122,176737703,-0.403959183673467
"82","QmVe9WsC8bggY9ymdQ3Yih1H7Yq54zviN2vNiHxVuJ8VKo",436,296.673469387755,86629479.2244898,209728531,0.315459163265305
"83","QmVrny6kfGtPt4Z3Y3GNwY36VA8nYTakE78AX1MVPkE4fg",403,259.163265306122,90733246.6734694,168471520,-0.0415013673469406
"84","QmW52wF9cP1UGoFWzzqHmroMSgf7wHMpdGgLR2xkKgU1sA",429,289.612244897959,88471281.0408163,202236325,-1.09536114285714
"85","QmW8FWujCfJ1dt955Yu4yypZpf3N7QivRWZEmvtSB6eCbv",367,231.734693877551,80966751.8571429,150806812,-0.0388699795918391
"86","QmWiVtoxzbiiGgsnfwxiH9YiXpE8iN1yg633Qoc16fcEWu",375,240.918367346939,90140712.5306122,151720680,-0.943025183673469
"87","QmWLC2cRiHkkbePYhkYPieY7d5gU52AWA8Y9ZmmQYYFAVQ",455,307.612244897959,89485267.5510204,218767390,-0.640412653061225
"88","QmWm8mwtmkeXwea9KsdHn3FYkjV1XYENBnupUJ8dN7JC1K",456,305.959183673469,87818417.122449,219018043,-0.877276448979587
"89","QmXoTzupidZNARTneMfNqcK7EqosDHFNeSCSodCKDi3uKY",454,305.34693877551,86983160,217929268,0.434510775510203
"90","QmXShX4pBYcdBm4m13XQD8D3WMi6PESQEUaBxwjCmAKnWd",1113,656.551020408163,300014824.040816,355432916,1.10328036734694
"91","QmY3LffxY5RTuu7RRGYUaJp1t4Zy1gy5uu6hwCYTYzhPR5",411,273.30612244898,88517819.2857143,185130359,-0.342055836734693
"92","QmY4h175RCPK9zcj1di78hejYzzvFX1MWTX3Rga8AaRBqF",355,221.734693877551,78137052.0816327,143398437,0.199204795918366
"93","QmYFHZosrD1MWQYpzQaXfcf9o1tVtpefCrTp4SYss69kEj",435,304.918367346939,94024210.8163265,210629503,0.264653530612244
"94","QmYVaTrE7RzV9CXVV5rQqaMwMCCPVVLKLkJLheLKmGCWuS",500,359.938775510204,90840446.0204082,269438150,-0.339820510204081
"95","QmZ5CToYLt2XsyPiwPcSdriTr6WEzsEg7H1z1f1M9vkZW7",446,290,88073559.5306122,202718628,-0.792187530612249
"96","QmZfetjijdCTrvHL2vZazYCT5xQ8Bkc9FUZmV9pKbUgD28",479,342.061224489796,89626115.0204082,252838762,-0.403652530612248
"97","QmZKhcirb2KK6tyqmpnJ1up9b4CvToLnU6yWfVaEsqEmZA",489,328.65306122449,92395580.244898,235464501,0.792979979591839
"98","QmZNrSEPQTR12Rjw7KtXSiFmtbuStS2AXGHgouQkPaL4v4",432,283.265306122449,91298961.7346939,192285720,-0.319375612244896
"99","QmZUXru44fbTCzfLrR6bnpUFBSTg5cuQto15FraVqCZc2R",414,268.326530612245,92407167.8163265,176986815,-1.06745220408164
"100","QmZvN46RM21WuFaabREoTVertqy7xTuUtjf7aR1mxsipg5",444,315.571428571429,87048922.9387755,227844955,0.677550632653063
"1","Qma8cZTHD62BdUtWnD8uK8FoGYuBn3fAtvJyUnGtdi1KSe",465,320.938775510204,92264265.5306122,226116813,2.55769697959183
"2","QmahXqDfWjUESRFZBZzgPNuWH7w3jHqQSE2u5rmXyJYRXe",538,323.408163265306,92621286.4285714,227695799,3.09107783673469
"3","QmaM9AGPax7ycHFJke2DXc7Z88hT5MwvjkiHuXWxA8a9KC",570,347.448979591837,90904095.1428571,252586567,3.95831744897959
"4","QmaPAE3Z7fcjHRo5PTNArZcwN5oCM6oxb4jt54jidm1TL7",481,343.551020408163,89060057.6938775,251653126,2.83783671428572
"5","Qmb27VmxLTLBZWWCjpdHc2CBior8mGQFJhdU6HxneraJ6B",507,346.285714285714,90713828.2857143,251597548,3.974338
"6","Qmb2jutEk5BbySqGqcjTquSCCMgqtvtcWpiJQeKqjBHnAQ",517,339.142857142857,100681296.55102,235187639,3.27392159183673
"7","Qmb4xWBY7nSMVMBh3F4RARADS3WWbHbYv7SZvH8nwGVVYS",488,345.571428571429,89607155.7142857,252230814,3.73345885714286
"8","Qmb6od8zjecbjTziNVVacu8oKi1S9SXPBaUMmnLNgC5Xrz",513,338.69387755102,90074127.2040816,243425485,5.19426534693878
"9","QmbcgQjDNPYw2TejULLz8toc9CPhWXiuzdZND5sFzuv7MK",614,442.795918367347,96580674.6938775,343731774,2.48346967346939
"10","QmbFn3MFYmd4RTB1wpvQbC2RoTKWUwBvnn8c1fcEK96pvf",489,318.285714285714,88797747.2244898,226727330,2.76063706122448
"11","QmbjDuxMYEYLvtq42NaJUmJEg4gJPN1FfUJ7WrVY44s6p1",491,336.530612244898,88100374.2244898,243980586,4.44965202040817
"12","QmbsDwMax7gkFuaGWdMq2wNJToUAKDFieBkDuybcyvWpTa",585,330.408163265306,92387470.755102,235104670,2.91602251020408
"13","Qmc8ywuY476Ee7kXFjhRXLYFVUPsmSAKR1e2tC19D9chxk",514,365.918367346939,87807208.9387755,275674519,2.43663940816326
"14","Qmcetb8mRrgVXFgCjVmtVWuw9ZumF8S7g8JzqFpdxGspMU",496,311.775510204082,90367277.5306122,218646941,2.76129167346939
"15","QmcqEqGqWYEErc8kTQTwJYYPdeWePchfhyvDpaHRx44vam",472,329.183673469388,87865085.9795918,236799486,4.51910148979592
"16","QmdeR99NXw3kVgwSLV7KmFXzsnUMgxpSBZX7acWBc2dnxe",473,316.387755102041,87875067.8367347,226369601,2.14308626530612
"17","Qmdhmr6ZusEV2dyAAgW4hbkafti6xrjVdWjovBytiZbbgx",513,338.122448979592,92455359.4285714,241629701,4.03738855102041
