"","CID","maxlatency","mean_latency","mean_timeRetrieve","mean_timeSend","mean_time_pubsub"
"1","Qma8nEdwt2hH8yhMdfLvCC8pvm3ybtS6otCEHaxBuB4DcF",449,449,211341000,238327816,-0.668815999999993
"2","Qmb571S1jTe9FhA1jeMZA9hJyvmUaRXKrzdguMKkH6AzwS",445,445,184779159,260777383,-0.556541999999979
"3","QmbJpbMUeqmV64xJQee3nXdsT5zF2x3tVsohFGqPFT2nDn",1214,1214,816220375,398733648,-0.954023000000007
"4","QmegPMpEBYKwgDoSTRhi5APbRpKQxTgJEwTQHv9b172TCY",431,431,199366613,231266519,0.366868000000011
"5","QmPQBzT9bEGeWHhLqmQBn3WLPPohaFt4Y7zDY1dYghRe5d",440,440,195998037,243896851,0.10511200000002
"6","QmRJn7YpztUumU521rSFPa1rJeJppQ8ECmkZQdx5AEcEPf",497,497,229587340,266685015,0.727644999999995
"7","QmUEcNjhmjxmo6giwGmR8WvBAd9Bogg3T6K8sPNiFxSDQm",425,425,194960359,230717371,-0.677729999999997
"8","QmUiYufYKCpWzzT84iQcJRxh32sqsMGWbH8QgWYPcZtaze",448,448,188230699,260827819,-1.05851799999999
"9","QmW8YgevRq9myhuUnuqufJZro6BGMACU2oFYbGZDRrfHfq",440,440,213707826,226997706,-0.705532000000005
"10","QmXtN9GCktTnyxzxSDrjTE8iKX6MwX7MkYL2cnrhSeurTe",464,464,271070494,194566952,-1.63744600000001
