CID,time,timeSend,timeRetrieve
QmWFVMQhYNCmyTbgpMHrUhCN5UaejoqRTLjVTLfB4D4YGm,1695361509516,0,672587146
QmZvUdX6khdAEvAeepzueSko9eJMzmnSgM8WawF8ncNcBL,1695361510283,0,186444502
QmcnfJhizMGPsmGpbYYUSM6pieCK3iJi5ZzKwTcWZ9eSYH,1695361511491,0,190831135
QmRpJ3dTSG48rnLt1uk4DcdJqKQE7J2jdqXBtSwH21oNHr,1695361512703,0,235827386
QmU8ogFVwj6VVo78c4B8m8Z2efNNtvz8aPGU8b2rzgDECE,1695361513865,0,170022721
QmUPEMujbJabFq3geppR37SynNse96exqRYePv1D4iYxjp,1695361515074,0,200933619
QmYt98VvHNZ99C7AmiV12zSYe74nfMHFJJjCoYu7EaM4eY,1695361516284,0,175973256
QmNaBNi6QFsFdnR8fZRPzYoLAdXm2TcGQSh9He6DAMwE5s,1695361517530,0,227888862
QmdTVrQXeDReovXqwuZs4CsdoHvUBnfSzWXNVPLCbH8bdr,1695361518705,0,150599212
QmPzt3w6vdU9VmBKBCW4m2Yy5CaueWjWxeeKPg6rWUQ6WY,1695361519874,0,158725620
QmeRDtxu8fcPjFtNRAKfru48y9AKJzgbvswbxbALrkBz94,1695361521147,0,237624575
QmcrKbHLNGi6XARcGLFBjxtPZT4Xb7ccyK6xDn6bLsoxRK,1695361522302,0,173982319
QmcTLfTJU5sYwZMWRsYW4NDYbBE46VDpsYj3ouKfJiTTNL,1695361523521,0,198960713
QmYTX1z8soEy1EypSzHdGy1qkZjtQc8rsWMSm4knGEfyai,1695361524698,0,155818056
QmQEExMtMaqXY3i6FGmvXQWCGwcz5wE7SXRBwxYd1bV8ZC,1695361525908,0,165040231
QmUY8vJWbd5v7Eu5vRM44hjZDsddiLmRhd89u1akgTAHg7,1695361527142,0,213525104
QmTHbk6aiwWsimRwGRbZsStYNczRk41Cj66dygi1foL84p,1695361528336,0,171228951
QmaZAydAYYhBSY1s8CLLqrTmCaNPrr8yL9Qs7Yxwk5kgT3,1695361529538,0,204385161
QmX51XSwMcZriiGeWzgqrRG88nEktZ65aQYGJWSmpq1sXQ,1695361530706,0,161973780
QmYmdzaGXW9e7aFYq65BY4zbnAKZGRAjhXrPDyDJaqKtgU,1695361531984,0,229368761
QmUhyxMzfezQqPFdydxxeyLcqsyxv7M6Mh2qHWaUVApYoJ,1695361533152,0,176663439
QmUPXAsEsf7hMWi5KiMRgoEZ7ELpDii2CKsLWJi2rTDM46,1695361534354,0,151252807
QmNzyzj3M2RhMsK8rW4Pd46RBpJMb3HkBWfUiqrbq1v2vq,1695361535582,0,194904152
QmVjiciob8yU4LK2shWhi5a8VvdrBn9T6DexTxosLnfVPo,1695361536809,0,184764727
QmWa4r1zhjYwhFvkQpe4Cf8i1RNFXXJcnFGnmYEGKYin4Y,1695361537993,0,216271371
QmatCCSxggmq4BMDRrz1GXJZo8hFdTJGhL7wP1o4jMXHiu,1695361539203,0,202365923
QmewV2YZvKTyifz9ULP9r9oJsaa1iG1cft3seYZSuCbS5w,1695361540399,0,194072412
QmPxNemHMzXVrMqwHuufCG4VpLQxGNsFP9MaDtUpTratUn,1695361541566,0,166736655
QmYnihuAn1HjC33HC87FL18YhdXWPscdep5fycrbZQux3V,1695361542792,0,181188881
QmT9DBd71TwAjMgthU9AmNWov294c3zEpZf8XSFJcodKP4,1695361544002,0,215225480
QmR278PxJUthnVaTQ6f2PLVanj7ARJVW9dJFbqaeuGEr2F,1695361545171,0,155435859
QmZgzCPXd8Ukg4nSWrXGTvbu55PZofe6iBjHtcxJHVqGje,1695361546430,0,212059112
QmSANVYxfZpMsYEjQ9jAqN6mdyhiJqJyu9SxBybMsh8CU6,1695361547625,0,173172612
QmXuKYWvsJ3keLHeUnyj6S6NZxhxrZJyQJ33iUYHGgSF31,1695361548885,0,221233518
QmXgsapEmV9AxfSPtyWGVxFM1bsDXJTekKymJ1Acd2hdZ4,1695361550037,0,179260772
QmdazNCPnsdpY1WHBEvT5F9pemopfY7vWBu45uuzUQESGk,1695361551299,0,189195740
QmYJurzpEHDWeBbMh96fi39NYQhpJxU9RxjE59gHk4Qs6w,1695361552507,0,168856380
QmPLy1nKeVUPEJX5ZhN138hCV6thj5berJEV56GmVEczs4,1695361553817,0,219206823
QmPanFh9zi5wBjwLc4AuRKLE2rKDi6PRiF3Qwf8KzRm9fz,1695361555044,0,168807192
QmTrRwXEvkjFpz8ehEGLGXTiqD3hoyR3ZqMfrmHaF4xs5D,1695361556295,0,217685538
QmaLavG5dWsHDWt9UUcxUixNe52sEs7pU2WtkGtEh7264i,1695361557431,0,150443460
QmWCJSdd51AoPvHhHfsqwKmJDzTqtKpmvfzcPTuG8Xz5RB,1695361558725,0,226358720
Qmewr6RUmpDZv4zXWNwkg1fx7YBy5DPKGb7PMJmaMfpYW4,1695361559886,0,209292349
QmXobuVEMdcjheHi7ELt3y32RrnsWoaJFN1WyMujGZQXPA,1695361561103,0,173918044
QmPxubEyjzi2Ae2Tge5mk4nGSuB9PXpoXvQDQZdpDBT2Tg,1695361562297,0,198878739
QmTz2uwjWyywvhQ1CJ2ptiPCnhNnWMcULsRnW7c9rn4hyH,1695361563525,0,173860945
QmQLvVmMsTv1dTzcHU1WZ3q49SB6WVdzHSfRfTvR5S4nSj,1695361564794,0,223195539
QmNhp3RpLWseB2jsqdZzydnw2L1bbJhVyHgLUY2yKsLKqp,1695361565937,0,163231952
QmT9BJ6mh4NFt8SNxHcq5ipqufPcv7rcXQxXzR6F5MHNCb,1695361567206,0,197300177
QmdsWz7TLuuFvu1YdTBo5y1uqNEWLUHup8V5NZ6Phak36W,1695361568349,0,170834699
QmdMwX2rxkydCsrghAiaPjWSKAgG7qQrW4kcNu4xx8aFfJ,1695361569690,0,224292787
QmXaoZcvP9QjbtJG5q95buSst4Nu6kYvgj9WUXabJiH774,1695361570838,0,170767682
QmSeczHmeqo8AqWezaietGgjnLV2smm1Bg9SsfQBMsF48b,1695361572089,0,202570957
QmUtuZuqfFfVCsL18VySLCQeJXRwZKAwsQbZ3NDHKtCFoN,1695361573267,0,203151418
QmPz1C72XBCmCnHYMJV8G17LTuR7kBAwMzKvjKz7FEtgNb,1695361574484,0,167621816
QmaHiCbuSPomMHeZwMxAck66zMkyDCH8HEbJJd8B9ktrVD,1695361575796,0,176786545
QmVLvcrP9rWQzv6FiuPFRGhwv4VwkoYdC6SWjkr2YBL5eM,1695361577098,0,209768986
QmdYYfv4yTkVZbaAe3S9iBEACNx54yaSNfnNfVDNhiJ9M2,1695361578242,0,150459261
Qmb3jDXCqeEer2Leoc14kFAbvvPJziy3kUGouUKSxwsjfp,1695361579519,0,199560502
QmYgycRELzG1Va4DDzmTJGxMTc49nyKeGu8n3ogzXAwKbY,1695361580697,0,181741443
QmVs3nBM78G4zXhrRZTdVfFM5o2RxhKKoyyWgmeP31F2B2,1695361581947,0,205095348
Qma1hfM1u5RceXEmPty14d9LM6ZuDhJAeTCjaTugTVgGGy,1695361583108,0,155590302
QmdrHX8uAKhhcmDTth6gKSv5J43yRksdUfczfcVaWuZmTE,1695361584318,0,171942015
QmVJEL94VYUTAmQgAvAbVGc925fp84jAazkjxbnfqDfs2A,1695361585591,0,217667764
QmUeoAKXamvRECbDDKwht2ZwfNqX3a8EDMJXR9Gdbtkc3H,1695361586772,0,196057566
QmVi9rARUNGpqazSpTqwnnFVsh2FGtC6BH6f3mGF8mh2ac,1695361588023,0,203006522
QmWTN9qqtFw6tsfo3zEmdRuzrYNwtuzyqq1jNPX5qVbump,1695361589185,0,178507524
QmPP9h76wGjEkkC4mKFwrGyQido7ezQCeKEw7ShE3Sves8,1695361590469,0,218460007
QmRF4vi9dJ2xbutFTNs9igeK79AoiiDD6c1YrJCLfBG1An,1695361591646,0,168444669
QmYKdrWfUyDz4m4uQiUHtLafSv9YbFdK5iHSyAdkDUbW3Z,1695361592865,0,218164236
QmRiRaRsVnAUxiReQ7x5uyZdSGYHpbZfKt5ipJReCZogmL,1695361594035,0,176956100
QmfBNQveVqguxCz6wFr4W1mf9mdZPveAAznQdafNotYArB,1695361595253,0,151371655
QmZuGmqRcpP9h7LUxtwJmT4x79mZG48UWLrCRHQibAWQC5,1695361596496,0,191046307
QmVKoTQJe2TZRLQhdEBWxsbF3jA8c4rjRjto5DWDEy2anu,1695361597689,0,181351513
QmS65PxxxpnXHG2NSVWLZf2iY6Wz4rPS3B6T9zLRZRFZ9J,1695361598883,0,207405512
QmRDeqo5o3ZekvK9qLcFC7vYBDmjndf4pVpmcM8hQxf464,1695361600053,0,149788269
